,year,tournament,round,match_time,player1,player2,player1_set1,player2_set1,player1_set2,player2_set2,player1_set3,player2_set3
0,2021,TotalEnergies BWF World Championships 2021,R64,0:54,LOH Kean Yew,Viktor AXELSEN,14,21,21,9,21,6
1,2021,TotalEnergies BWF World Championships 2021,R32,0:25,Luka WRABER,LOH Kean Yew,4,21,8,21,,
2,2021,TotalEnergies BWF World Championships 2021,R16,0:30,Kantaphon WANGCHAROEN,LOH Kean Yew,4,21,7,21,,
3,2021,TotalEnergies BWF World Championships 2021,QF,0:43,PRANNOY H. S.,LOH Kean Yew,14,21,12,21,,
4,2021,TotalEnergies BWF World Championships 2021,SF,1:01,Anders ANTONSEN,LOH Kean Yew,21,23,14,21,,
5,2021,TotalEnergies BWF World Championships 2021,Final,0:43,KIDAMBI Srikanth,LOH Kean Yew,15,21,20,22,,
6,2021,SimInvest Indonesia Open 2021(New dates),R32,0:32,PARUPALLI Kashyap,LOH Kean Yew,11,21,14,21,,
7,2021,SimInvest Indonesia Open 2021(New dates),R16,1:09,Kento MOMOTA,LOH Kean Yew,7,21,21,17,19,21
8,2021,SimInvest Indonesia Open 2021(New dates),QF,0:25,LOH Kean Yew,Hans-Kristian Solberg VITTINGHUS,21,9,21,4,,
9,2021,SimInvest Indonesia Open 2021(New dates),SF,0:42,LOH Kean Yew,Rasmus GEMKE,21,14,21,7,,
10,2021,SimInvest Indonesia Open 2021(New dates),Final,0:59,LOH Kean Yew,Viktor AXELSEN,13,21,21,9,13,21
11,2021,DAIHATSU Indonesia Masters 2021(New dates),R32,1:06,LOH Kean Yew,WANG Tzu Wei,17,21,21,14,21,15
12,2021,DAIHATSU Indonesia Masters 2021(New dates),R16,0:33,CHOU Tien Chen,LOH Kean Yew,21,10,21,12,,
13,2021,HYLO Open 2021 (formerly SaarLorLux Open),R32,0:37,CHOU Tien Chen,LOH Kean Yew,18,21,13,21,,
14,2021,HYLO Open 2021 (formerly SaarLorLux Open),R16,0:59,LOH Kean Yew,Toma Junior POPOV,21,15,11,21,21,15
15,2021,HYLO Open 2021 (formerly SaarLorLux Open),QF,1:12,LOH Kean Yew,Rasmus GEMKE,21,11,19,21,22,20
16,2021,HYLO Open 2021 (formerly SaarLorLux Open),SF,0:46,LOH Kean Yew,Lakshya SEN,21,18,21,12,,
17,2021,HYLO Open 2021 (formerly SaarLorLux Open),Final,1:04,LOH Kean Yew,LEE Zii Jia,19,21,21,13,17,12
18,2021,YONEX French Open 2021,R32,0:39,LOH Kean Yew,LEE Zii Jia,24,22,21,14,,
19,2021,YONEX French Open 2021,R16,0:40,Lakshya SEN,LOH Kean Yew,21,17,21,13,,
20,2021,VICTOR Denmark Open 2021,R32,0:35,LOH Kean Yew,Viktor AXELSEN,19,21,14,21,,
21,2021,YONEX Dutch Open 2021,R32,0:29,Vladimir MALKOV,LOH Kean Yew,14,21,16,21,,
22,2021,YONEX Dutch Open 2021,R16,0:32,Ade Resky DWICAHYO,LOH Kean Yew,15,21,10,21,,
23,2021,YONEX Dutch Open 2021,QF,0:40,Nhat NGUYEN,LOH Kean Yew,12,21,18,21,,
24,2021,YONEX Dutch Open 2021,SF,0:32,Pablo ABIAN,LOH Kean Yew,6,21,15,21,,
25,2021,YONEX Dutch Open 2021,Final,0:36,Lakshya SEN,LOH Kean Yew,12,21,16,21,,
26,2021,Tokyo 2020 Olympic Games Badminton,Group G,0:33,LOH Kean Yew,Aram MAHMOUD,21,15,21,12,,
27,2021,Tokyo 2020 Olympic Games Badminton,Group G,1:08,Jonatan CHRISTIE,LOH Kean Yew,22,20,13,21,21,18
28,2021,TOYOTA Thailand Open,R32,1:05,LOH Kean Yew,Kunlavut VITIDSARN,21,14,16,21,10,21
29,2021,YONEX Thailand Open,R32,1:05,Jonatan CHRISTIE,LOH Kean Yew,13,21,21,10,21,16
30,2020,Barcelona Spain Masters 2020,R32,0:52,Viktor AXELSEN,LOH Kean Yew,13,21,21,14,21,15
31,2020,Badminton Asia Team Championships 2020,R1,0:26,LOH Kean Yew,Ros Leonard PEDROSA,21,11,21,8,,
32,2020,Badminton Asia Team Championships 2020,R2,0:41,CHOU Tien Chen,LOH Kean Yew,16,21,17,21,,
33,2020,DAIHATSU Indonesia Masters 2020,R32,0:43,LOH Kean Yew,Kanta TSUNEYAMA,24,22,21,9,,
34,2020,DAIHATSU Indonesia Masters 2020,R16,0:40,LOH Kean Yew,ZHAO Jun Peng,9,21,21,23,,
35,2020,PERODUA Malaysia Masters 2020,Qual. R16,1:00,LEE Dong Keun,LOH Kean Yew,21,19,5,21,21,18
36,2019,30th SEA GAMES 2019 (Individual Event),R16,0:41,SOONG Joo Ven,LOH Kean Yew,17,21,16,21,,
37,2019,30th SEA GAMES 2019 (Individual Event),QF,0:41,Shesar Hiren RHUSTAVITO,LOH Kean Yew,18,21,20,22,,
38,2019,30th SEA GAMES 2019 (Individual Event),SF,0:46,Kantaphon WANGCHAROEN,LOH Kean Yew,21,16,6,21,9,21
39,2019,30th SEA GAMES 2019 (Individual Event),Final,0:00,LOH Kean Yew,LEE Zii Jia,,,,,,
40,2019,Fuzhou China Open 2019,R32,1:05,LEE Zii Jia,LOH Kean Yew,19,21,21,18,21,12
41,2019,YONEX Chinese Taipei Open 2019,R32,0:35,LOH Kean Yew,NG Ka Long Angus,21,19,21,12,,
42,2019,YONEX Chinese Taipei Open 2019,R16,1:03,Koki WATANABE,LOH Kean Yew,22,20,17,21,21,16
43,2019,TOTAL BWF World Championships 2019,R64,1:01,LOH Kean Yew,Sameer VERMA,15,21,21,15,21,10
44,2019,TOTAL BWF World Championships 2019,R32,1:14,Thomas ROUXEL,LOH Kean Yew,21,18,13,21,11,21
45,2019,TOTAL BWF World Championships 2019,R16,1:05,LOH Kean Yew,CHOU Tien Chen,13,21,21,18,17,21
46,2019,IDBI Federal Life Insurance Hyderabad Open 2019,R64,0:23,Timothy LAM,LOH Kean Yew,7,21,13,21,,
47,2019,IDBI Federal Life Insurance Hyderabad Open 2019,R32,0:01,Sony Dwi KUNCORO,LOH Kean Yew,2,2,,,,
48,2019,IDBI Federal Life Insurance Hyderabad Open 2019,R16,0:47,PARUPALLI Kashyap,LOH Kean Yew,21,17,15,21,19,21
49,2019,IDBI Federal Life Insurance Hyderabad Open 2019,QF,0:33,LOH Kean Yew,Subhankar DEY,21,11,21,16,,
50,2019,IDBI Federal Life Insurance Hyderabad Open 2019,SF,0:47,HEO Kwanghee,LOH Kean Yew,21,16,10,21,23,25
51,2019,IDBI Federal Life Insurance Hyderabad Open 2019,Final,0:52,LOH Kean Yew,Sourabh VERMA,13,21,21,14,16,21
52,2019,Russian Open 2019,R64,0:00,LOH Kean Yew,Walkover/Bye,BYE  ,BYE  ,,,,
53,2019,Russian Open 2019,R32,0:41,LOH Kean Yew,Ryotaro MARUO,21,9,21,11,,
54,2019,Russian Open 2019,R16,0:32,LOH Kean Yew,Dai WATANABE,21,14,21,9,,
55,2019,Russian Open 2019,QF,0:33,LOH Kean Yew,Chico  Aura DWI WARDOYO,21,14,21,10,,
56,2019,Russian Open 2019,SF,0:57,Kodai NARAOKA,LOH Kean Yew,16,21,18,21,,
